	car2		
t	x	y	
0.000	0.132	1.178
0.033	0.223	1.261
0.067	0.317	1.335
0.100	0.411	1.399
0.133	0.480	1.440
0.167	0.585	1.490
0.200	0.678	1.524
0.233	0.770	1.546
0.267	0.872	1.558
0.300	0.938	1.561
0.333	1.027	1.553
0.367	1.115	1.535
0.400	1.201	1.508
0.433	1.290	1.464
0.467	1.376	1.417
0.500	1.461	1.359
0.533	1.564	1.273
0.567	1.634	1.206
0.600	1.715	1.119
0.633	1.803	1.012
0.667	1.881	0.910
0.700	1.957	0.798
0.733	2.033	0.678
0.767	2.108	0.551
0.800	2.181	0.415
0.833	2.253	0.271
0.867	2.323	0.121
